"","id","avg_steps","avg_calories","user_type"
"1",1503960366,12116.7419354839,1816.41935483871,"Very Active"
"2",1624580081,5743.90322580645,1483.35483870968,"Lightly Active"
"3",1644430081,7282.96666666667,2811.3,"Lightly Active"
"4",1844505072,2580.06451612903,1573.48387096774,"Sedentary"
"5",1927972279,916.129032258065,2172.8064516129,"Sedentary"
"6",2022484408,11370.6451612903,2509.96774193548,"Very Active"
"7",2026352035,5566.87096774194,1540.64516129032,"Lightly Active"
"8",2320127002,4716.87096774194,1724.16129032258,"Sedentary"
"9",2347167796,9519.66666666667,2043.44444444444,"Fairly Active"
"10",2873212765,7555.77419354839,1916.96774193548,"Fairly Active"
"11",3372868164,6861.65,1933.1,"Lightly Active"
"12",3977333714,10984.5666666667,1513.66666666667,"Very Active"
"13",4020332650,2267.22580645161,2385.8064516129,"Sedentary"
"14",4057192912,3838,1973.75,"Sedentary"
"15",4319703577,7268.83870967742,2037.67741935484,"Lightly Active"
"16",4388161847,10813.935483871,3093.87096774194,"Very Active"
"17",4445114986,4796.54838709677,2186.1935483871,"Sedentary"
"18",4558609924,7685.12903225806,2033.25806451613,"Fairly Active"
"19",4702921684,8572.06451612903,2965.54838709677,"Fairly Active"
"20",5553957443,8612.58064516129,1875.67741935484,"Fairly Active"
"21",5577150313,8304.43333333333,3359.63333333333,"Fairly Active"
"22",6117666160,7046.71428571429,2261.14285714286,"Lightly Active"
"23",6290855005,5649.55172413793,2599.62068965517,"Lightly Active"
"24",6775888955,2519.69230769231,2131.76923076923,"Sedentary"
"25",6962181067,9794.8064516129,1982.03225806452,"Fairly Active"
"26",7007744171,11323.4230769231,2544,"Very Active"
"27",7086361926,9371.77419354839,2566.35483870968,"Fairly Active"
"28",8053475328,14763.2903225806,2945.8064516129,"Very Active"
"29",8253242879,6482.15789473684,1788,"Lightly Active"
"30",8378563200,8717.70967741935,3436.58064516129,"Fairly Active"
"31",8583815059,7198.51612903226,2732.03225806452,"Lightly Active"
"32",8792009665,1853.72413793103,1962.31034482759,"Sedentary"
"33",8877689391,16040.0322580645,3420.25806451613,"Very Active"
